name,sector,city,website,description,ratingAvg,reviewsCount
BH Telecom,IT,Sarajevo,https://www.bhtelecom.ba,Leading telecom operator,4.2,132
Energoinvest,Energy,Sarajevo,https://www.energoinvest.ba,Energy & engineering,4.0,58
Bosnalijek,Healthcare,Sarajevo,https://www.bosnalijek.com,Pharmaceuticals,4.3,91
UniCredit Bank d.d.,Finance,Mostar,https://www.unicredit.ba,Banking services,4.1,75
Bingo,Retail,Tuzla,https://bingobih.ba,Retail chain,4.4,201
Sarajevska pivara,Manufacturing,Sarajevo,https://sarajevska-pivara.com,Brewery,4.0,64
Telemach,IT,Sarajevo,https://telemach.ba,Telecom & cable TV,4.1,120
HT Eronet,IT,Mostar,https://www.hteronet.ba,Telecommunications,3.9,42
Sparkasse Bank BiH,Finance,Sarajevo,https://sparkasse.ba,Bank,4.0,55
Prevent Group,Manufacturing,Visoko,https://prevent-group.com,Automotive supplier,4.2,78
ASA Prevent,Manufacturing,Tešanj,https://asa-prevent.com,Automotive components,4.1,65
Raiffeisen Bank BiH,Finance,Sarajevo,https://www.raiffeisenbank.ba,Banking,4.2,89
Coca-Cola HBC BiH,Manufacturing,Sarajevo,https://ba.coca-colahellenic.com,Beverages,4.3,112
BBI Centar,Retail,Sarajevo,https://www.bbicentar.ba,Shopping center,4.5,245
Unis Group,Manufacturing,Sarajevo,https://unis.ba,Machinery & equipment,3.8,34
Elektroprivreda BiH,Energy,Sarajevo,https://www.elektroprivreda.ba,Power utility,3.7,51
Lasta,Manufacturing,Čapljina,https://lasta.ba,Beverages,4.0,43
M:tel,IT,Banja Luka,https://mtel.ba,Telecommunications,4.0,156
Šipad,Retail,Sarajevo,https://www.sipad.ba,Food retail,4.2,87
Zara Bravsko,Manufacturing,Brčko,https://www.zara.ba,Steel production,3.9,29
